,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
89,0.169401694,0,0.5,0,0,0,1,0,1,0,1,1,1,0.001020669,0,1,1,1,1,0,0,1,1,0.029297423,1,1,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,1,1,1,1,0.422362664,0.478723404,0.962358846,0.421052632,0.319805758,0.437260903,0.723684211,0
316,0.169401694,0.8,0.5,0,0,0,1,0,0.967741935,1,0.000900901,0,0.000900901,0.002551671,1,0,0,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.030096542,0.001801802,0.001801802,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.046511628,0.5,0.333333333,0.2,0.2,0.5,0.333333333,0,0,0.004504505,0,0.600291687,0.340425532,0.962358846,0.348684211,0.525494277,0.430566182,0.355263158,1
1277,0.169401694,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008675683,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029707782,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0.001801802,0.008108108,0.318230433,0.308510638,0.962358846,0.361842105,0.215400624,0.309296098,1,0
2629,0.162201622,0,0.5,0,0,0,1,0,0.096774194,0,0.000900901,0.000900901,0.000900901,0.007655014,1,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029675385,0.007207207,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0.004504505,0.004504505,0.465824016,0.127659574,0.951066499,0.611842105,0.441207076,0.334736037,0.631578947,1
2921,0.169401694,0,0.5,0,0,0.986111111,1,0,1,0,1,1,1,0.010206685,1,1,1,1,1,0,0,1,1,0.029880564,1,1,0.076923077,0.307692308,0,1,0.046511628,0.162790698,0,1,0.2,0.8,0,1,1,1,1,1,0.600291687,0.340425532,0.962358846,0.348684211,0.525494277,0.430566182,0.355263158,0
3828,0.169401694,0.2,0.5,0,0,0,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005613677,1,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.02962139,0.003603604,0.003603604,0.076923077,0.153846154,0.5,0.333333333,0.046511628,0.11627907,0.5,0.333333333,0.2,0.2,0.5,0.333333333,0,0,0,0.001801802,0.600291687,0.340425532,0.962358846,0.348684211,0.525494277,0.430566182,0.355263158,1
4777,0.169401694,0,0.5,0,0,0,1,0,0.096774194,0,0.000900901,0.000900901,0.000900901,0.005103343,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029513401,0.000900901,0.000900901,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.046511628,0.5,0.333333333,0.2,0.2,0.5,0.333333333,0,0,0.004504505,0.008108108,0.411959164,0.053191489,0.962358846,0.769736842,0.506070066,0.346595256,0.302631579,0
5103,1,0,0.5,0,0,0,1,0,0.096774194,0,0.000900901,0,0.000900901,0.003062006,1,0,0.000900901,0.000900901,0.000900901,0,0.5,0.001801802,0.003603604,0.029858966,0.006306306,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0.004504505,0,0.302673797,0.063829787,1,0.526315789,0.293444329,0.209257842,0.473684211,1
8730,0.169401694,0.4,0.5,0,0,0.986111111,1,0.666666667,0,0,0.000900901,0.000900901,0.000900901,0.013268691,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029567396,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.793193972,0.095744681,0.962358846,0.743421053,0.930280957,0.639058914,0.302631579,0
10197,1,0.4,0.5,0,0,0.027777778,1,0.666666667,0,0,0.000900901,0.000900901,0.000900901,0.012248022,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029653787,0.005405405,0.008108108,0.076923077,0.307692308,1,1,0.046511628,0.162790698,1,1,0.2,0.8,1,1,0,0,0.004504505,0.008108108,0.666115702,0.095744681,1,0.848684211,0.692334374,0.439938791,0.355263158,0
10861,0.169401694,0.4,0.5,0,0,0,1,0.666666667,0,0,0.000900901,0.000900901,0.000900901,0.019392702,1,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029729379,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0.000900901,0,0.793193972,0.095744681,0.962358846,0.743421053,0.930280957,0.639058914,0.302631579,1
12652,0.169401694,0.8,0.5,0,0,0,1,0,0.096774194,1,0.000900901,0.000900901,0.000900901,0.002041337,1,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029729379,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0.000900901,0.003603604,0.008108108,0.421195916,0.191489362,0.962358846,0.585526316,0.257370794,0.345065034,1,1
12655,0.169401694,0,0.5,0,0,0.986111111,1,0,0.096774194,0,0.000900901,0.000900901,0.000900901,0.002041337,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029729379,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.421195916,0.191489362,0.962358846,0.585526316,0.257370794,0.345065034,1,0
14467,0.169401694,0.4,0.5,0,0,0,1,0.666666667,1,0,0.000900901,0.000900901,0.000900901,0.011737688,1,0,0.000900901,0.000900901,0.000900901,1,0,0,0,0.029686184,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0,0,0.005405405,0.411959164,0.053191489,0.962358846,0.769736842,0.506070066,0.346595256,0.302631579,1
15756,0.162201622,0.2,0.5,0,0,0.125,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.008675683,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029567396,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0.000900901,0.004504505,0.008108108,0.638308216,0.085106383,0.951066499,0.730263158,0.609781478,0.464996174,0.328947368,0
15763,0.162201622,0,0.5,0,0,0.125,1,0,0,0,0.000900901,0.000900901,0.000900901,0,0,0,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.029567396,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.162790698,0.5,1,0.2,0.8,0.5,1,0,0.000900901,0.004504505,0.008108108,0.638308216,0.085106383,0.951066499,0.730263158,0.609781478,0.464996174,0.328947368,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
90,16940,0,1,0,0,0,2,1,32,1,1111,1111,1111,25000,2,1111,1111,1111,1111,1,1,1111,1111,25,1111,1111,2,5,2,4,3,8,2,4,2,5,2,4,1111,1111,1111,1111,4344,45,76700,64,922,2286,55,0
