,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
0,99999,2,1,1,1,2,1,3,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,91,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,2699,15,79700,108,744,1078,40,1
1,16220,2,1,1,1,0,2,3,1,1,2,2,2,115000,3,2,2,2,2,1,1,3,5,24,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,3,1,2,4341,9,75800,99,1422,1914,57,0
2,16940,4,1,1,2,0,2,1,2,2,2,1,2,55000,2,2,2,2,2,1,1,3,5,66,1,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,5283,11,76700,138,1702,1910,19,1
3,16940,2,0,1,1,0,2,3,32,1,2,2,2,105000,3,2,2,2,2,1,1,3,5,79,2,10,1,5,2,4,5,8,2,4,1,5,2,4,1,3,6,9,4686,12,76700,152,1751,1966,36,0
4,99999,4,1,1,2,0,2,1,4,2,2,2,2,35000,3,2,2,2,2,1,1,3,5,132,1,1,2,2,2,2,5,5,2,2,1,2,2,2,1,3,6,6,5545,20,79700,79,1378,2089,39,0
5,16220,2,1,1,1,0,2,3,32,1,2,2,2,95000,3,2,2,2,2,1,1,3,5,10,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,3,1,1,4341,9,75800,99,1422,1914,57,0
6,16940,0,1,1,1,0,1,1,1,1,2,2,2,345000,2,2,2,2,2,1,1,3,5,119,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,1
7,16940,2,1,1,1,0,2,3,1,1,2,2,2,185000,3,2,2,2,2,2,1,1,1,84,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,3,1,6,4237,5,76700,117,1459,1812,23,0
8,99999,4,1,1,0,0,2,1,2,2,2,2,2,35000,2,2,2,2,2,1,1,3,5,107,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,6851,9,79700,129,1996,2300,27,1
9,99999,2,1,2,2,0,2,3,32,1,2,2,2,325000,3,2,2,2,2,1,1,3,5,112,1,3,2,2,2,2,1,5,2,2,1,2,2,2,1,3,1,4,5933,11,79700,122,1634,3517,22,0
10,16940,2,1,1,2,2,1,3,1,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,58,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,6053,21,76700,96,1425,2501,56,1
11,99999,2,1,1,1,0,2,3,1,1,2,2,2,125000,3,2,2,2,2,1,1,3,5,25,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,3,1,4,2343,19,79700,40,236,871,28,0
12,99999,0,1,2,2,3,1,1,1,1,2,2,2,275000,2,2,2,2,2,1,1,3,5,425,3,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,9871,13,79700,127,2590,3489,15,1
13,99999,0,1,1,1,0,1,1,1,1,2,2,2,125000,2,2,2,2,2,1,1,3,5,75,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4553,20,79700,125,1072,1581,30,1
