,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4,0.11244112441124411,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.058165548098434,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.08038585209003216,0.75,0.6666666666666665,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.19047619047619047,0.15384615384615385,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,1.0,0.2,1.0,0.23517933799269164,0.33,0.6483443708609271,0.41854636591478694,0.3729202524383247,0.3250345781466113,0.3157894736842105,0.0
7,0.3108431084310843,0.0,0.5,0.5,0.5,0.986111111111111,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.07158836689038031,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.017831043554516222,0.75,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.19047619047619047,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,1.0,0.2,1.0,0.19601234611700427,0.89,0.48410596026490066,0.22807017543859648,0.22662076878944348,0.23236514522821575,0.5921052631578947,0.0
10,0.3108431084310843,0.0,0.0,0.5,0.5,0.986111111111111,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.09395973154362416,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.029231218941829874,0.75,1.0,0.0,0.3076923076923077,0.5,1.0,0.19047619047619047,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,1.0,0.0,1.0,0.14258346046049597,0.9400000000000001,0.48410596026490066,0.2807017543859649,0.12182061579651941,0.13139695712309818,0.631578947368421,0.0
12,0.4174041740417404,0.0,0.0,0.5,0.5,0.986111111111111,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.09843400447427293,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.022508038585209004,0.75,1.0,0.0,0.3076923076923077,0.5,1.0,0.19047619047619047,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,1.0,0.0,1.0,0.23514386064497816,0.39,0.571523178807947,0.23057644110275688,0.2518646012621916,0.23636084216997078,0.6184210526315789,0.0
13,0.3108431084310843,0.0,0.5,0.5,0.5,0.986111111111111,1.0,0.0,0.03225806451612903,0.0,0.0,1.0,1.0,0.06487695749440717,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.009938614440222157,0.75,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.19047619047619047,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,1.0,1.0000000000000002,1.0,0.23989782523858513,0.84,0.48410596026490066,0.24060150375939848,0.18397399120290686,0.21868756723528507,0.763157894736842,0.0
16,0.3108431084310843,0.0,0.5,0.5,1.0,0.986111111111111,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2058165548098434,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05349313066354867,0.75,0.6666666666666665,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.19047619047619047,0.15384615384615385,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,1.0,1.0000000000000002,1.0,0.136658743392344,0.51,0.48410596026490066,0.41604010025062654,0.1235417861923886,0.1801137236821884,0.5394736842105263,0.0
20,0.3108431084310843,0.5,0.0,0.5,1.0,0.986111111111111,1.0,0.6666666666666667,0.03225806451612903,0.0,1.0,1.0,1.0,0.10067114093959732,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.04180064308681672,0.75,0.6666666666666665,0.0,0.0,0.5,0.3333333333333333,0.19047619047619047,0.15384615384615385,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.18590130201866106,0.8300000000000001,0.48410596026490066,0.2932330827067669,0.17670682730923695,0.16720454894728753,0.7368421052631579,0.0
23,0.4014040140401404,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.09172259507829979,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.02543116047939199,0.75,0.6666666666666665,0.0,0.07692307692307693,0.5,0.3333333333333333,0.19047619047619047,0.15384615384615385,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.16986554085216587,0.44,0.4615894039735099,0.49874686716791977,0.275196022183974,0.2342093130474873,0.513157894736842,0.0
26,0.3108431084310843,0.0,0.5,0.5,0.5,1.0,1.0,0.0,0.03225806451612903,0.0,1.0,1.0,1.0,0.10961968680089486,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.02952353113124817,0.75,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.19047619047619047,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,1.0,1.0000000000000002,1.0,0.13949693120942278,0.44,0.48410596026490066,0.24310776942355888,0.17307324536240198,0.18533886583679113,0.7236842105263157,0.0
27,0.11244112441124411,0.0,0.5,0.5,1.0,0.986111111111111,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.15659955257270694,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.06606255480853551,0.75,0.6666666666666665,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.19047619047619047,0.15384615384615385,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,1.0,1.0000000000000002,1.0,0.1385035654734452,0.28,0.6483443708609271,0.23809523809523808,0.0996366418053165,0.22498847395112953,0.6842105263157894,0.0
