,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
117,0.16940169401694016,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,1.0,1.0,1.0,0.0010206685378923194,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.030010150968661588,1.0,1.0,0.0,0.07692307692307693,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.7744287797763733,0.18085106382978722,0.9623588456712673,0.8421052631578947,0.8539715574054804,0.5881790359602143,0.5,1.0
257,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0015310028068384793,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,1.0,0.0,0.0009009009009009009,0.0,0.029319021187447357,0.001801801801801802,0.001801801801801802,0.0,0.07692307692307693,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.0,0.5391346621293145,0.2127659574468085,1.0,0.5197368421052632,0.4779743322927506,0.3995791889824024,0.513157894736842,0.0
268,0.16220162201622015,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0,0.0009009009009009009,0.0010206685378923194,0.0,0.0,0.0009009009009009009,0.0,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.03067968294421287,0.001801801801801802,0.001801801801801802,0.0,0.07692307692307693,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.008108108108108109,0.5918327661643169,0.10638297872340426,0.9510664993726474,0.6578947368421052,0.6420395421436004,0.47570772762050495,0.43421052631578944,1.0
748,0.16940169401694016,0.0,1.0,1.0,1.0,0.013888888888888888,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.010206685378923195,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.02951340143841386,0.007207207207207207,0.001801801801801802,0.0,0.07692307692307693,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.008108108108108109,0.4657267865824015,0.26595744680851063,0.9623588456712673,0.47368421052631576,0.5050294831772459,0.3905891354246366,0.43421052631578944,1.0
825,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.967741935483871,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.007655014034192396,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.030452905984751952,0.001801801801801802,0.007207207207207207,0.0,0.07692307692307693,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.5708313077297034,0.23404255319148937,1.0,0.5986842105263157,0.5771765522025668,0.4458684009181331,0.513157894736842,0.0
1228,0.16940169401694016,0.2,1.0,1.0,1.0,0.986111111111111,1.0,0.3333333333333333,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.014289359530492473,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.03011813999697631,0.007207207207207207,0.0,0.0,0.07692307692307693,0.5,0.0,0.09302325581395349,0.046511627906976744,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.001801801801801802,0.008108108108108109,0.3614000972289742,0.3829787234042553,0.9623588456712673,0.6052631578947368,0.3489420742282345,0.25765110941086455,0.5263157894736842,1.0
1251,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.03225806451612903,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0030620056136769582,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.030744476361201704,0.007207207207207207,0.001801801801801802,0.07692307692307693,0.0,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.008108108108108109,0.3706368497812348,0.0425531914893617,1.0,0.6644736842105263,0.3173777315296566,0.3041315990818669,0.7368421052631579,1.0
1681,0.16940169401694016,0.0,1.0,1.0,1.0,0.013888888888888888,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.01939270221995407,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.03058249281872962,0.007207207207207207,0.001801801801801802,0.07692307692307693,0.0,0.0,0.0,0.046511627906976744,0.09302325581395349,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.008108108108108109,0.7744287797763733,0.18085106382978722,0.9623588456712673,0.8421052631578947,0.8539715574054804,0.5881790359602143,0.5,1.0
2512,0.16940169401694016,0.2,1.0,1.0,1.0,0.125,1.0,0.3333333333333333,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.012248022454707833,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.029772575106369197,0.0009009009009009009,0.007207207207207207,0.0,0.07692307692307693,0.0,0.0,0.09302325581395349,0.023255813953488372,0.0,0.3333333333333333,0.0,0.2,0.0,0.0,0.0009009009009009009,0.0,0.001801801801801802,0.008108108108108109,0.4831307729703451,0.2765957446808511,0.9623588456712673,0.7236842105263157,0.47346514047866806,0.36476664116296864,0.43421052631578944,1.0
2746,1.0,0.0,1.0,1.0,1.0,0.986111111111111,1.0,0.0,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.005103342689461597,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.030377313664931647,0.0,0.007207207207207207,0.0,0.07692307692307693,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0009009009009009009,0.0,0.0,0.008108108108108109,0.40213903743315504,0.3723404255319149,1.0,0.6513157894736842,0.434616718695803,0.37184391736801836,0.7894736842105263,1.0
