,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4,16220,0,0,1,1,0,2,1,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,68,3,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,6,10,7178,6,75800,95,2007,3182,44,0
7,16940,0,1,1,2,0,1,1,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,70,2,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4351,15,76700,104,1042,1504,40,0
22,16940,0,1,1,1,0,1,1,1,1,2,2,2,345000,2,2,2,2,2,1,1,3,5,119,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,0
26,16220,2,1,1,1,2,1,3,1,1,2,2,2,185000,2,2,2,2,2,1,1,3,5,61,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
33,16220,2,1,1,1,2,1,3,1,1,2,2,2,395000,2,2,2,2,2,1,1,3,5,60,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,3684,10,75800,149,1253,1337,28,0
38,16940,2,1,2,2,2,2,3,1,1,2,2,2,395000,2,2,2,2,2,1,1,3,5,81,3,3,2,2,2,2,5,1,2,2,1,2,2,2,1,1,1,10,4237,5,76700,117,1459,1812,23,0
39,16940,2,1,1,2,2,1,3,1,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,58,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,6053,21,76700,96,1425,2501,56,0
48,16940,2,2,1,2,2,2,3,1,1,2,2,2,305000,2,2,2,2,2,1,1,3,5,105,1,2,2,1,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4969,26,76700,110,1365,1907,33,0
49,16940,2,1,1,1,0,2,3,32,1,2,2,2,475000,2,2,2,2,2,1,1,3,5,105,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,5283,11,76700,138,1702,1910,19,0
59,16220,2,1,1,1,2,2,3,1,1,2,2,2,205000,2,2,2,2,2,1,1,3,5,73,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
85,16940,2,1,1,1,2,2,3,1,1,2,2,2,245000,2,2,2,2,2,1,1,3,5,46,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4969,26,76700,110,1365,1907,33,0
194,16940,1,1,1,2,2,2,2,31,1,2,2,2,155000,2,2,2,2,2,1,1,3,5,0,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,2,1,10,8555,17,76700,111,2040,2810,38,0
197,16940,1,1,1,0,2,2,2,32,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,48,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,2,1,10,8555,17,76700,111,2040,2810,38,0
198,16940,1,0,1,2,2,2,2,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,70,3,3,1,1,2,2,5,5,2,2,1,2,2,2,1,2,1,10,4344,45,76700,64,922,2286,55,0
201,16940,0,1,1,2,3,2,1,31,1,2,2,2,155000,2,2,2,2,2,1,2,3,5,168,1,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,8555,17,76700,111,2040,2810,38,0
204,16940,0,1,1,2,1,2,1,32,1,2,2,2,135000,2,2,2,2,2,1,1,3,5,153,2,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,2,10,8555,17,76700,111,2040,2810,38,0
205,16940,2,1,1,1,2,2,3,2,1,2,2,2,255000,2,2,2,2,2,1,1,3,5,62,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,0
228,16220,0,1,1,1,1,2,1,1,1,2,2,1,185000,3,2,2,2,2,1,3,3,5,144,1,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
298,16220,4,1,1,2,0,2,1,1,2,2,1,2,175000,2,2,2,1,2,1,1,3,5,138,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,6565,8,75800,111,1758,2431,25,0
314,99999,4,1,1,1,0,2,1,4,2,2,1,2,845000,3,2,1,2,2,1,1,3,5,305,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,10,4830,7,79700,152,1268,3732,27,1
384,99999,0,1,1,2,0,2,1,4,1,2,1,2,505000,2,2,1,2,2,1,1,3,5,382,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,6919,3,79700,114,2321,3470,33,0
465,16940,4,1,1,2,0,2,1,4,2,2,1,2,105000,2,2,1,2,2,1,1,3,5,81,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,8555,17,76700,111,2040,2810,38,0
574,16220,0,1,1,1,0,2,1,31,1,2,1,2,65000,2,2,1,2,2,1,1,3,5,39,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,10,7178,6,75800,95,2007,3182,44,0
621,16940,4,1,1,1,0,2,1,4,2,2,1,2,65000,2,2,1,2,2,1,1,3,5,50,3,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,6,10,8555,17,76700,111,2040,2810,38,0
667,16940,0,1,1,0,0,2,1,1,1,2,2,1,105000,3,2,1,1,2,1,3,3,5,89,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,4332,18,76700,89,742,1804,76,0
677,16220,0,1,1,2,0,2,1,1,1,2,2,1,185000,3,2,2,1,2,1,3,3,5,279,3,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,7178,6,75800,95,2007,3182,44,0
696,99999,0,1,1,2,0,2,1,1,1,2,2,2,755000,2,2,2,2,2,1,1,3,5,191,3,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4830,7,79700,152,1268,3732,27,0
701,16220,0,1,1,2,1,2,1,1,1,2,2,2,485000,2,2,2,2,2,1,1,3,5,276,1,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4071,3,75800,145,1302,2222,34,0
702,16940,2,1,1,1,71,2,3,1,1,2,2,2,255000,2,2,2,2,2,1,1,3,5,64,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
708,16940,1,1,1,1,9,2,2,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,70,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,3,10,8158,9,76700,113,2682,3341,23,0
710,16220,0,1,1,1,1,2,1,1,1,2,2,2,105000,2,2,2,2,2,1,1,3,5,31,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
711,16940,2,1,1,1,71,2,3,1,1,2,2,2,375000,2,2,2,2,2,1,1,3,5,77,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
712,16940,0,1,1,0,9,2,1,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,58,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,6053,21,76700,96,1425,2501,56,0
719,16220,1,1,1,1,9,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,44,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,3,10,4865,13,75800,106,1352,1802,29,0
729,16220,1,1,1,2,71,2,2,1,1,2,2,2,285000,2,2,2,2,2,1,1,3,5,144,2,9,2,2,1,1,5,5,1,1,1,2,1,1,1,1,3,10,4071,3,75800,145,1302,2222,34,0
732,16220,0,1,1,1,1,2,1,1,1,2,2,2,205000,2,2,2,2,2,1,1,3,5,84,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,4865,13,75800,106,1352,1802,29,0
735,16220,0,1,1,1,1,2,1,1,1,2,2,2,315000,2,2,2,2,2,1,1,3,5,181,3,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,1,10,4853,6,75800,109,1332,1883,40,0
743,99999,0,1,1,1,3,2,1,1,1,2,2,1,725000,3,2,2,2,2,1,3,3,5,564,1,9,2,2,2,2,5,5,2,2,1,1,2,2,1,1,2,10,7986,15,79700,120,1638,3195,24,0
744,16940,2,1,1,2,71,2,3,32,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,41,3,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,7965,17,76700,128,2462,3075,38,0
745,16940,2,1,1,1,71,2,3,1,1,2,2,2,345000,2,2,2,2,2,1,1,3,5,84,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7965,17,76700,128,2462,3075,38,0
746,16220,0,1,1,2,1,2,1,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,61,3,9,2,2,1,2,5,5,1,2,1,2,1,2,1,1,1,10,4071,3,75800,145,1302,2222,34,0
747,16940,1,1,1,0,0,2,2,32,1,2,2,2,165000,3,2,2,2,2,1,1,3,5,55,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,3,10,8555,17,76700,111,2040,2810,38,1
751,16940,0,1,1,0,1,2,1,1,1,2,2,2,465000,2,2,2,2,2,1,1,3,5,135,1,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
752,16940,1,1,1,2,71,2,2,1,1,2,2,2,275000,2,2,2,2,2,1,1,3,5,86,1,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,3,10,1866,18,76700,96,655,897,58,0
753,16940,0,1,1,1,3,2,1,31,1,2,2,2,215000,2,2,2,2,2,2,1,1,1,91,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,2,10,8158,9,76700,113,2682,3341,23,0
759,16220,1,1,1,1,9,2,2,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,58,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,3,10,4865,13,75800,106,1352,1802,29,0
768,16940,0,1,1,2,1,2,1,32,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,56,2,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,1,10,8158,9,76700,113,2682,3341,23,0
786,16220,2,1,1,1,71,2,3,1,1,2,2,2,235000,2,2,2,2,2,1,1,3,5,77,2,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,1,10,2686,11,75800,70,541,1059,40,0
787,16220,1,1,1,0,9,2,2,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,57,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,3,10,7178,6,75800,95,2007,3182,44,0
788,16940,1,1,1,2,71,2,2,1,1,2,2,2,315000,2,2,2,2,2,1,1,3,5,123,9,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,3,10,6174,32,76700,53,1515,2251,27,0
789,16220,1,1,1,2,9,2,2,1,1,2,2,2,195000,2,2,2,2,2,1,1,3,5,65,9,3,2,2,2,2,5,5,2,2,1,2,2,2,1,1,3,10,6565,8,75800,111,1758,2431,25,0
792,16220,1,1,1,1,9,2,2,1,1,2,2,2,135000,2,2,2,2,2,1,1,3,5,33,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,3,10,4592,37,75800,47,859,1662,59,0
795,16940,0,1,1,2,1,2,1,1,1,2,2,2,355000,2,2,2,2,2,1,1,3,5,119,2,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4237,5,76700,117,1459,1812,23,0
798,99999,0,1,1,2,3,2,1,1,1,2,2,2,725000,3,2,2,2,2,1,2,3,5,284,9,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,2,10,7986,15,79700,120,1638,3195,24,0
808,16940,0,1,1,1,1,2,1,32,1,2,2,2,135000,3,2,2,2,2,1,2,3,5,105,2,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,6053,21,76700,96,1425,2501,56,0
809,16220,0,1,1,1,1,2,1,31,1,2,2,2,385000,2,2,2,2,2,1,1,3,5,84,1,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,1,10,3684,10,75800,149,1253,1337,28,0
811,16220,0,1,1,1,9,2,1,1,1,2,2,2,195000,2,2,2,2,2,1,1,3,5,72,1,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
818,16940,1,1,1,2,71,2,2,1,1,2,2,2,145000,2,2,2,2,2,1,1,3,5,74,1,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,3,10,4344,45,76700,64,922,2286,55,0
836,16940,2,1,1,1,71,2,3,32,1,2,2,2,245000,2,2,2,2,2,1,1,3,5,49,1,10,2,5,1,4,5,8,1,4,1,5,1,4,1,1,1,10,4686,12,76700,152,1751,1966,36,0
838,16940,0,2,1,2,1,2,1,31,1,2,2,2,135000,2,2,2,2,2,1,1,3,5,100,1,9,1,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,8555,17,76700,111,2040,2810,38,0
843,16940,0,1,1,0,1,2,1,1,1,2,2,2,85000,2,2,2,2,2,1,1,3,5,23,3,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,4332,18,76700,89,742,1804,76,0
845,16940,0,1,1,2,71,2,1,1,1,2,2,2,375000,2,2,2,2,2,1,1,3,5,209,9,1,2,2,1,1,5,5,1,1,1,2,1,1,1,1,1,10,4237,5,76700,117,1459,1812,23,0
861,16220,3,0,1,2,71,2,4,1,1,2,2,2,165000,2,2,2,2,2,1,1,3,5,37,3,9,1,1,2,2,5,5,2,2,1,2,2,2,1,1,4,10,6565,8,75800,111,1758,2431,25,0
866,16940,2,1,1,1,71,2,3,1,1,2,2,2,355000,2,2,2,2,2,1,1,3,5,80,3,10,2,5,2,4,5,8,2,4,1,5,2,4,1,1,1,10,8158,9,76700,113,2682,3341,23,0
867,16220,0,1,1,2,1,2,1,1,1,2,2,2,335000,2,2,2,2,2,1,1,3,5,125,2,9,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4853,6,75800,109,1332,1883,40,0
871,16220,0,1,1,0,3,2,1,1,1,2,2,2,175000,2,2,2,2,2,1,1,3,5,50,2,10,2,5,2,4,5,8,2,4,2,5,2,4,1,1,1,10,7178,6,75800,95,2007,3182,44,0
