,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
181,31084,0,1,0,0,0,2,1,31,1,2,2,1,365000,3,2,2,1,2,1,3,3,5,97,2,10,2,5,1,4,3,8,1,4,2,5,1,4,1,1,5,10,3973,67,73100,107,648,1011,71,0
182,31084,0,1,0,0,0,2,1,31,1,2,2,1,505000,2,2,2,1,2,1,3,3,5,98,2,10,2,5,1,4,3,8,1,4,2,5,1,4,1,1,5,10,6197,97,73100,153,1819,2025,50,0
457,0,2,1,0,0,71,2,3,1,1,2,2,2,445000,3,2,2,2,2,1,1,3,5,70,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,0,0,0,0,0,0,0,0
538,41740,0,1,0,0,6,2,1,32,1,2,2,2,395000,3,2,2,2,2,1,3,3,5,161,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,4428,95,86300,83,833,1273,54,0
573,31084,0,1,0,0,0,2,1,32,1,2,2,2,275000,3,2,2,2,2,1,3,3,5,135,2,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,4,3251,98,73100,66,290,725,67,1
929,40900,0,1,0,0,71,2,1,32,1,2,2,2,625000,3,2,2,2,2,1,3,3,5,95,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,2582,63,84000,58,146,937,68,0
951,40900,0,1,0,0,1,2,1,32,1,2,2,2,355000,3,2,2,2,2,1,1,3,5,92,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,4999,64,84000,94,1393,2132,48,0
1076,31084,0,1,0,0,1,2,1,32,1,2,2,2,455000,3,2,2,2,2,1,1,3,5,118,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,3748,49,73100,110,836,1036,33,0
1092,0,0,1,0,0,71,2,1,32,1,2,2,2,495000,3,2,2,2,2,1,1,3,5,94,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,0,0,0,0,0,0,0,0
1158,33700,0,1,0,0,0,2,1,1,1,2,2,2,125000,3,2,2,2,2,1,3,3,5,62,3,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,6435,82,64500,64,657,1676,57,1
1167,31084,0,1,0,0,0,2,1,32,1,2,2,2,685000,3,2,2,2,2,1,3,3,5,540,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,3,4324,70,73100,129,391,448,33,1
1168,31084,0,1,0,0,0,2,1,32,1,2,2,2,755000,3,2,2,2,2,1,3,3,5,540,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,3,5983,62,73100,104,727,797,44,1
1170,31084,0,1,0,0,0,2,1,32,1,2,2,2,1085000,3,2,2,2,2,1,1,3,5,540,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,3,5983,62,73100,104,727,797,44,1
1424,31084,0,1,0,0,6,2,1,32,1,2,2,2,535000,3,2,2,2,2,1,1,3,5,240,2,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,3963,79,73100,156,979,1108,43,0
1506,31084,1,1,0,0,71,2,2,31,1,2,2,2,415000,3,2,2,2,2,1,1,3,5,0,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,6295,99,73100,70,499,1377,68,0
1628,0,1,1,0,0,71,2,2,31,1,2,2,2,415000,3,2,2,2,2,1,1,3,5,0,9,8,2,2,2,2,3,3,2,2,2,2,2,2,2,1,6,10,0,0,0,0,0,0,0,0
1727,31084,0,1,0,0,0,2,1,32,1,2,2,2,995000,3,2,2,2,2,1,1,3,5,197,3,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,4,4176,32,73100,193,1234,1494,0,1
1805,40140,2,1,0,0,0,2,3,32,1,2,2,2,525000,3,2,2,2,2,1,1,3,5,105,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,1,5406,49,69700,213,1302,1576,13,1
2163,31084,0,1,0,0,6,2,1,32,1,2,2,2,375000,3,2,2,2,2,1,1,3,5,74,3,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,2883,69,73100,59,223,323,48,0
2193,40140,1,1,0,0,71,2,2,1,1,2,2,2,375000,3,2,2,2,2,1,1,3,5,92,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,5276,48,69700,119,1207,1654,27,0
2248,41740,0,1,0,0,6,2,1,1,1,2,2,2,235000,3,2,2,2,2,1,1,3,5,54,8,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,1,10,4841,93,86300,50,478,1022,58,0
2336,31084,0,1,0,0,3,2,1,32,1,2,2,2,285000,2,2,2,2,2,1,1,3,5,126,1,10,2,5,2,4,3,8,2,4,2,5,2,4,1,1,2,10,7769,87,73100,197,2206,2823,56,0
2363,31084,4,1,0,0,71,2,1,4,2,2,1,2,45000,2,2,1,2,2,1,1,3,5,98,2,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,7085,99,73100,60,642,1388,55,0
2582,31084,4,1,0,0,71,2,1,1,2,2,1,2,255000,2,2,1,2,2,1,1,3,5,203,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,6564,62,73100,213,1352,1690,0,0
2590,31084,4,1,0,0,0,2,1,31,2,2,1,2,375000,2,2,1,2,2,1,1,3,5,236,1,10,2,5,2,4,3,8,2,4,2,5,2,4,2,1,6,10,6564,62,73100,213,1352,1690,0,0
