,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
71,0.004045171077026799,0.38860388603886037,0.4,1.0,0.5,1.0,0.0,1.0,0.6666666666666667,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.04605263157894737,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.06645316253002402,0.001801801801801802,0.0,0.9230769230769231,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0,0.002702702702702703,0.14306569343065692,0.02,1.0,0.5604395604395604,0.18722627737226277,0.24078264341807534,1.0,1.0
86,0.004887915051407382,0.12620126201262014,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.03947368421052632,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.0744595676541233,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.002702702702702703,0.3644020213363279,0.04,0.7681660899653979,0.45054945054945056,0.35656934306569343,0.21549314521496074,0.5394736842105263,1.0
88,0.005000280914658126,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0,0.0009009009009009009,0.003289473684210526,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.0588470776621297,0.0,0.007207207207207207,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.0045045045045045045,0.3814710836608647,0.2,1.0,0.3131868131868132,0.3094890510948905,0.19220018634367098,0.9342105263157894,1.0
99,0.005674476094162593,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.01644736842105263,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.06551908193221244,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.007207207207207207,0.5157776530039304,0.18,1.0,0.47802197802197804,0.5346715328467153,0.2595501131372288,0.35526315789473684,1.0
113,0.006461037136917804,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.006578947368421052,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.07699492927675473,0.007207207207207207,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.0045045045045045045,0.5779898933183605,0.64,1.0,0.46153846153846156,0.41605839416058393,0.25302808465326765,0.5,1.0
120,0.0069105005899207815,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.006578947368421052,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.06938884440886042,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.007207207207207207,0.38046041549691184,0.04,1.0,0.4670329670329671,0.4127737226277372,0.23652335951018236,0.5394736842105263,1.0
121,0.006966683521546154,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.006578947368421052,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.06938884440886042,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.007207207207207207,0.38046041549691184,0.04,1.0,0.4670329670329671,0.4127737226277372,0.23652335951018236,0.5394736842105263,1.0
153,0.008989269060059554,0.38860388603886037,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.006578947368421052,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.07712836936215639,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.001801801801801802,0.0045045045045045045,0.001801801801801802,0.3814710836608647,0.2,1.0,0.3131868131868132,0.3094890510948905,0.19220018634367098,0.9342105263157894,1.0
254,0.014776111017472891,0.12620126201262014,0.6000000000000001,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.03947368421052632,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.07058980517747532,0.0009009009009009009,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0009009009009009009,0.0,0.0045045045045045045,0.001801801801801802,0.7189219539584503,0.06,0.7681660899653979,0.6373626373626374,0.7543795620437955,0.3845334753094636,0.48684210526315785,1.0
259,0.015057025675599751,1.0,0.6000000000000001,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.04276315789473684,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.061248999199359486,0.0009009009009009009,0.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.001801801801801802,0.408422234699607,0.06,0.7474048442906575,0.4285714285714286,0.43503649635036495,0.302009849594037,0.5921052631578947,1.0
287,0.016630147761110173,0.12620126201262014,0.6000000000000001,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.04276315789473684,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.059113957832933016,0.007207207207207207,0.007207207207207207,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.15384615384615385,0.09302325581395349,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0009009009009009009,0.0,0.0045045045045045045,0.0,0.46389668725435146,0.1,0.7681660899653979,0.532967032967033,0.4897810218978102,0.23479302542260083,0.4473684210526315,1.0
