,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
70,0.00160901,0.35300353,0,0.5,0,0,0,1,0,0,0,0.000900901,0.000900901,0.000900901,0.001111317,0.5,0.000900901,0.000900901,0.000900901,0.000900901,1,0,0.000900901,0,0.083352504,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0.000900901,0.003603604,0.008108108,0.476844691,0.181818182,0.768200837,0.459915612,0.484338161,0.511492661,0.697368421,0
141,0.003241007,0.255402554,0.2,0.5,0,0,0.027777778,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005556585,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08312246,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0.001801802,0.008108108,0.455099627,0.525252525,0.818410042,0.278481013,0.486359043,0.515092772,0.815789474,0
413,0.009493162,0.35300353,0,0.5,0,0,0.013888889,1,0,0,0,0.000900901,0.000900901,0.000900901,0.008520096,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.086419753,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0.000900901,0,0,0.008108108,0.610044582,0.252525253,0.768200837,0.375527426,0.502526103,0.677928552,0.644736842,0
500,0.011492932,0.148601486,0,0.5,0,1,0.041666667,1,0,1,0,0.000900901,0.000900901,0,0.005927024,1,0.000900901,0.000900901,0.000900901,0.000900901,0,1,0.001801802,0.003603604,0.091250671,0.001801802,0.007207207,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0.2,0,0.5,0.333333333,0.000900901,0.000900901,0,0.008108108,0.273405514,0.636363636,1,0.168776371,0.169754126,0.199944614,0.763157895,0
501,0.011515918,0.148601486,0.2,0,0,1,0,1,0.333333333,0.967741935,0,0.000900901,0.000900901,0.000900901,0.009631413,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.084886128,0.001801802,0.007207207,0,0,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0.004504505,0.005405405,0.426166864,0.636363636,1,0.248945148,0.22499158,0.360288009,0.710526316,1
629,0.014458108,0.148601486,0,0,0,0.5,0.041666667,1,0,0,0,0.000900901,0.000900901,0.000900901,0.015558437,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08749329,0,0.008108108,0,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0.000900901,0,0,0.008108108,0.448184879,0.141414141,1,0.497890295,0.398787471,0.444475215,0.539473684,0
758,0.017423285,0.148601486,0.8,0.5,1,1,0,1,0,0.967741935,1,0.000900901,0,0.000900901,0.004445268,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.087109884,0,0,0.076923077,0.076923077,0.5,0.333333333,0.093023256,0.525,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0.004504505,0,0.561914294,0.101010101,1,0.443037975,0.557763557,0.47659928,0.486842105,1
827,0.019009309,0.148601486,0,0.5,0,1,0,1,0,0,0,0.000900901,0.000900901,0.000900901,0.013706242,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.089640365,0,0.007207207,0.076923077,0.076923077,1,0.666666667,0.046511628,0.05,1,0.666666667,0,0.2,1,0.666666667,0,0,0,0.008108108,0.430352106,0.181818182,1,0.518987342,0.518693163,0.448352257,0.75,0
854,0.019629928,0.148601486,0.2,0.5,0,0.5,0.027777778,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.020744582,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.094624645,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.605040488,0.101010101,1,0.552742616,0.675311553,0.646912213,0.5,0
905,0.020802207,0.148601486,0.2,0.5,0,0.5,0.027777778,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.012594925,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.086036347,0.000900901,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0,0.8,0.5,1,0,0,0,0.008108108,0.355927577,0.202020202,1,0.392405063,0.396092961,0.415120465,0.644736842,0
