activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
2020,549300QSUEE20YO86W39,31084,CA,6037,6037187102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,32,1,2,2,2,295000,NA,3.625,NA,3,3195.16,NA,2194.66,2194.66,50.6,360,NA,NA,2,2,2,2,1155000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,3364,78.78,77300,84,391,918,64,6
2020,549300QSUEE20YO86W39,40140,CA,6071,6071002025,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,32,1,2,2,2,365000,NA,4.375,NA,3,1764.79,NA,216.24,216.24,,360,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,5344,48.71,75300,159,1522,1742,36,6
2020,549300QSUEE20YO86W39,40140,CA,6071,6071002034,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,2,1,31,1,2,2,2,325000,NA,3.625,NA,3,3703.75,NA,2107.65,1700.45,,360,NA,NA,2,2,2,2,595000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,15217,67.79,75300,179,2874,3826,11,6
2020,549300QSUEE20YO86W39,31084,CA,6037,6037800327,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,31,1,2,2,2,275000,NA,3.625,NA,3,3686.1,NA,2100,,481.6,360,NA,NA,2,2,2,2,915000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,5656,38.22,77300,124,1236,1436,37,6
2020,549300QSUEE20YO86W39,12540,CA,6029,6029003204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,31,1,2,2,2,265000,NA,3.75,NA,3,1100.6,NA,0,,930.8,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,8923,50.51,56600,231,2292,2943,0,6
2020,549300QSUEE20YO86W39,47300,CA,6107,6107002204,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,2,2,32,1,2,2,2,165000,NA,2.875,NA,3,4298.29,NA,50.94,50.94,,360,NA,NA,2,2,2,2,195000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,6611,82.35,52900,76,799,1706,27,6
2020,549300QSUEE20YO86W39,12540,CA,6029,6029003810,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,2,1,32,1,2,2,2,295000,NA,3.25,NA,3,1923.74,NA,174.64,174.64,7.95,180,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,2657,24.69,56600,284,779,894,24,6
2020,549300QSUEE20YO86W39,40900,CA,6067,6067009601,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,32,1,2,2,2,205000,NA,3.375,NA,3,890.05,NA,0,,842.4,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,6578,91.23,86700,70,1084,1840,31,6
2020,549300QSUEE20YO86W39,39820,CA,6089,6089011401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,32,1,2,2,2,155000,NA,2.75,NA,3,1629.49,NA,390.64,390.64,244.9,180,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,3850,14.03,68500,95,1018,1549,30,6
2020,549300QSUEE20YO86W39,31084,CA,6037,6037670328,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,2,1,31,1,2,2,2,715000,NA,3.375,NA,3,6299.53,NA,3902.6,3237.6,,360,NA,NA,2,2,2,2,2505000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,4901,31.81,77300,341,1330,1533,48,6
2020,549300QSUEE20YO86W39,31084,CA,6037,6037183300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,2,1,32,1,2,2,2,455000,NA,3.75,NA,3,3375.34,NA,1620.5,955.5,,360,NA,NA,2,2,2,2,755000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,3365,85.97,77300,110,535,975,76,6
2020,549300QSUEE20YO86W39,41884,CA,6075,6075061500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,31,1,2,2,2,455000,NA,3.125,NA,3,2964.93,NA,665,,1729.92,180,NA,NA,2,2,2,2,1925000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,12511,50.5,140900,165,2729,251,14,6
2020,549300QSUEE20YO86W39,31084,CA,6037,6037480702,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,1,32,1,2,2,1,305000,NA,3.25,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,1655000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,4542,64.55,77300,193,1180,1271,50,6
2020,549300QSUEE20YO86W39,31084,CA,6037,6037651401,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,3,2,1,31,1,2,2,2,535000,NA,3.5,NA,3,4065.11,NA,1710.27,1045.27,,360,NA,NA,2,2,2,2,1295000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,2513,37.17,77300,157,763,905,53,6
