,census_tract,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
181,0.3151740529581346,0.5,0.0,0.0,0.0,1.0,0.0,0.967741935483871,0.0,1.0,1.0,0.0,0.07829977628635347,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.0,1.0,0.09523809523809523,0.2692307692307693,0.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.8,1.0,0.14095150246567564,0.6796,0.48410596026490066,0.2681704260651629,0.12392426850258176,0.15537113877362838,0.9342105263157894,0.0
182,0.31804805848608453,0.5,0.0,0.0,0.0,1.0,0.0,0.967741935483871,0.0,1.0,1.0,0.0,0.10961968680089486,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.0,1.0,0.09523809523809523,0.2692307692307693,0.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.8,1.0,0.21985312378046615,0.9726,0.48410596026490066,0.38345864661654133,0.3478676611206732,0.31120331950207464,0.6578947368421052,0.0
457,,0.5,0.0,0.0,0.986111111111111,1.0,0.6666666666666667,0.0,0.0,1.0,1.0,1.0,0.09619686800894856,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,0.31530516795479,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.14317673378076062,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.2480221378649732,0.9658,0.48410596026490066,0.16040100250626566,0.08529355517307324,0.25587828492392806,1.0,0.0
523,0.3173290907218984,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.053691275167785234,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.22077553482101675,0.9036,0.48410596026490066,0.20050125313283207,0.13253012048192772,0.21008145074535114,0.8289473684210525,1.0
538,0.630081484890539,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.08501118568232663,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.1570936956753113,0.9537000000000001,0.571523178807947,0.20802005012531327,0.15930388219544847,0.19563546949439065,0.7105263157894737,0.0
543,0.6125296834672795,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.049217002237136466,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.2327314010004612,0.33030000000000004,0.4615894039735099,0.3634085213032581,0.3457640084146108,0.34547410481020435,0.47368421052631576,0.0
573,0.31802514416050087,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.058165548098434,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.3333333333333333,0.11533685741653953,0.9852,0.48410596026490066,0.16541353383458646,0.05545993497800727,0.11141847241432302,0.881578947368421,1.0
773,0.3181078610040231,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,1.0,0.07829977628635347,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.2817256181927839,0.9248000000000001,0.48410596026490066,0.2957393483709273,0.29852744310575635,0.28200399569694173,0.8026315789473684,1.0
929,0.5772755711642006,0.5,0.0,0.0,0.986111111111111,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.13646532438478748,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.0916025117962181,0.6301,0.5562913907284768,0.14536340852130325,0.02792120864410021,0.14399877055478713,0.894736842105263,0.0
