,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
100,0.0166776750330251,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.002069679199724043,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,1.0,0.0,0.0009009009009009009,0.0,0.08402451101757862,0.001801801801801802,0.001801801801801802,0.0,0.07692307692307693,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.0,0.5617465302400972,0.2127659574468085,1.0,0.5197368421052632,0.5137956748695003,0.5179766922886189,0.513157894736842,1.0
301,0.050693527080581245,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.967741935483871,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.010348395998620214,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.08727407774201536,0.001801801801801802,0.007207207207207207,0.0,0.07692307692307693,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.5947725661027252,0.23404255319148937,1.0,0.5986842105263157,0.6204325130499627,0.5779816513761469,0.513157894736842,1.0
420,0.07116908850726553,0.16940169401694016,0.2,1.0,1.0,1.0,0.986111111111111,1.0,0.3333333333333333,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.019317005864091068,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.08631468185194356,0.007207207207207207,0.0,0.0,0.07692307692307693,0.5,0.0,0.09302325581395349,0.046511627906976744,0.5,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.001801801801801802,0.008108108108108109,0.3765575929490427,0.3829787234042553,0.9623588456712673,0.6052631578947368,0.3750932140193885,0.33399454500371933,0.5263157894736842,0.0
999,0.18031704095112286,0.16940169401694016,0.0,1.0,1.0,1.0,0.986111111111111,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.015867540531217663,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.08665511265164645,1.0,1.0,0.07692307692307693,0.0,0.5,0.3333333333333333,0.09302325581395349,0.0,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.3765575929490427,0.3829787234042553,0.9623588456712673,0.6052631578947368,0.3750932140193885,0.33399454500371933,0.5263157894736842,0.0
1378,0.24356010568031705,0.16940169401694016,0.4,1.0,1.0,1.0,0.027777777777777776,1.0,0.6666666666666667,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.02138668506381511,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.08650037137905423,0.001801801801801802,0.001801801801801802,0.0,0.07692307692307693,1.0,0.6666666666666667,0.09302325581395349,0.046511627906976744,1.0,0.6666666666666667,0.0,0.25,1.0,0.6666666666666667,0.0009009009009009009,0.0009009009009009009,0.0,0.008108108108108109,0.2529632256103738,0.1595744680851064,0.9623588456712673,0.7302631578947368,0.21886651752423564,0.18497396479047856,0.42105263157894735,0.0
1647,0.29111624834874505,0.16940169401694016,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.03225806451612903,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.08646942312453579,0.0009009009009009009,0.0009009009009009009,0.0,0.07692307692307693,0.0,0.0,0.09302325581395349,0.046511627906976744,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.001801801801801802,0.0045045045045045045,0.002702702702702703,0.8264613514334921,0.09574468085106383,0.9623588456712673,0.7434210526315789,0.9999999999999999,0.8284155715348376,0.3026315789473684,1.0
1796,0.315885072655218,1.0,0.8,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0,0.0,0.001801801801801802,0.0036036036036036037,0.0850458034166873,0.001801801801801802,0.0009009009009009009,0.0,0.0,0.5,0.3333333333333333,0.09302325581395349,0.046511627906976744,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0009009009009009009,0.0,0.0045045045045045045,0.008108108108108109,0.23736196940532875,0.20212765957446807,1.0,0.2631578947368421,0.08799403430275912,0.21596826183982148,0.3684210526315789,0.0
2035,0.35617569352708056,1.0,0.6000000000000001,1.0,1.0,1.0,0.986111111111111,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.011038289065194896,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.08547907897994554,1.0,1.0,0.07692307692307693,0.0,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.2647148211933948,0.26595744680851063,1.0,0.6052631578947368,0.2203579418344519,0.27646912968013887,0.763157894736842,0.0
2067,0.36145970937912814,0.16220162201622015,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0027595722662987236,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,1.0,0.0,0.0009009009009009009,0.001801801801801802,0.08489106214409507,0.006306306306306306,0.007207207207207207,0.0,0.07692307692307693,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.007207207207207207,0.3355283152669436,0.2127659574468085,0.9510664993726474,0.7828947368421052,0.27069351230425054,0.23059757004711134,0.5,1.0
2626,0.45888375165125495,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,0.0034494653328734047,1.0,0.0,0.0009009009009009009,0.0009009009009009009,0.0009009009009009009,1.0,0.0,0.0009009009009009009,0.001801801801801802,0.08529338945283486,0.002702702702702703,0.007207207207207207,0.0,0.07692307692307693,0.5,0.3333333333333333,0.0,0.09302325581395349,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045045,0.001801801801801802,0.5811974470671665,0.14893617021276595,1.0,0.5921052631578947,0.604772557792692,0.549714852467146,0.42105263157894735,1.0
